[ 2025-05-31 22:03:52,862 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-31 22:03:56,843 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-31 22:03:56,843 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-31 22:03:56,844 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-31 22:03:56,884 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-31 22:03:56,884 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-31 22:03:56,887 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-31 22:03:56,903 ] 32 root - INFO - Required number of columns:2
[ 2025-05-31 22:03:56,903 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-31 22:03:56,905 ] 32 root - INFO - Required number of columns:2
[ 2025-05-31 22:03:56,905 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-31 22:03:57,011 ] 28 root - INFO - data Validation Completed
[ 2025-05-31 22:03:57,011 ] 31 root - INFO - data Transformation started
[ 2025-05-31 22:03:57,011 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-31 22:03:57,011 ] 65 root - INFO - Starting data transformation
[ 2025-05-31 22:03:57,028 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-31 22:03:57,028 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-31 22:03:57,038 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 22:03:57,041 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 22:03:57,042 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 22:03:57,044 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 22:03:57,045 ] 35 root - INFO - data Transformation completed
[ 2025-05-31 22:03:57,045 ] 37 root - INFO - Model Training sstared
[ 2025-05-31 22:11:04,285 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 22:11:04,285 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 22:11:04,285 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_31_2025_22_03_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9912739965095986), precision_score=np.float64(0.9901558654634947), recall_score=np.float64(0.9923946557040082)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9749325106054763), precision_score=np.float64(0.9715603382013835), recall_score=np.float64(0.978328173374613)))
[ 2025-05-31 22:11:04,289 ] 42 root - INFO - Model Training artifact created
