[ 2025-05-30 21:58:36,355 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-30 21:58:40,184 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-30 21:58:40,184 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-30 21:58:40,184 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-30 21:58:40,224 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-30 21:58:40,224 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-30 21:58:40,230 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-30 21:58:40,249 ] 32 root - INFO - Required number of columns:2
[ 2025-05-30 21:58:40,249 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-30 21:58:40,249 ] 32 root - INFO - Required number of columns:2
[ 2025-05-30 21:58:40,249 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-30 21:58:40,352 ] 28 root - INFO - data Validation Completed
[ 2025-05-30 21:58:40,352 ] 31 root - INFO - data Transformation started
[ 2025-05-30 21:58:40,352 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-30 21:58:40,352 ] 65 root - INFO - Starting data transformation
[ 2025-05-30 21:58:40,370 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-30 21:58:40,370 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-30 21:58:40,380 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-30 21:58:40,383 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-30 21:58:40,383 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-30 21:58:40,386 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-30 21:58:40,387 ] 35 root - INFO - data Transformation completed
